task_id,scene_id,family,success,collision,ground,timeout,steps,total_return,discounted_return,action_clips,support_violations,collision_step,terminal_reward,pre_obstacle_return,candidate_seed
OPEN_00_TASK_008,OPEN_00,OPEN,1,0,0,0,258,27.25652597688417,3.9600055150268654,0,0,,20.0,27.25652597688417,20260816
OPEN_00_TASK_009,OPEN_00,OPEN,1,0,0,0,223,26.120348285669607,4.47042967039973,0,0,,20.0,26.120348285669607,20260817
OPEN_00_TASK_011,OPEN_00,OPEN,1,0,0,0,228,26.325488103586203,4.42330221354889,0,0,,20.0,26.325488103586203,20260819
OPEN_00_TASK_018,OPEN_00,OPEN,1,0,0,0,245,26.93672784891437,4.163251715036086,0,0,,20.0,26.93672784891437,20260826
OPEN_00_TASK_026,OPEN_00,OPEN,1,0,0,0,206,25.75845738719836,4.877577148678112,0,0,,20.0,25.75845738719836,20260834
OPEN_00_TASK_033,OPEN_00,OPEN,1,0,0,0,239,26.610307735895493,4.1972620608789,0,0,,20.0,26.610307735895493,20260841
OPEN_01_TASK_014,OPEN_01,OPEN,1,0,0,0,258,26.603188313939057,3.9007713732560334,0,0,,20.0,26.603188313939057,20360822
OPEN_01_TASK_017,OPEN_01,OPEN,1,0,0,0,253,26.537093102197623,3.9362721394799536,0,0,,20.0,26.537093102197623,20360825
OPEN_01_TASK_028,OPEN_01,OPEN,1,0,0,0,236,26.0255479076007,4.235356775074223,0,0,,20.0,26.0255479076007,20360836
OPEN_01_TASK_029,OPEN_01,OPEN,1,0,0,0,301,27.89260810468341,3.4888195490229963,0,0,,20.0,27.89260810468341,20360837
OPEN_01_TASK_031,OPEN_01,OPEN,1,0,0,0,293,27.62387190792301,3.530990159288909,0,0,,20.0,27.62387190792301,20360839
OPEN_01_TASK_037,OPEN_01,OPEN,1,0,0,0,289,26.87637517048355,3.521585666944809,0,0,,20.0,26.87637517048355,20360845
OPEN_02_TASK_004,OPEN_02,OPEN,1,0,0,0,226,26.14255694335627,4.4733963294779135,0,0,,20.0,26.14255694335627,20460812
OPEN_02_TASK_008,OPEN_02,OPEN,1,0,0,0,210,25.506485770083138,4.7587689002041085,0,0,,20.0,25.506485770083138,20460816
OPEN_02_TASK_015,OPEN_02,OPEN,1,0,0,0,207,25.55369549363128,4.829131241966591,0,0,,20.0,25.55369549363128,20460823
OPEN_02_TASK_017,OPEN_02,OPEN,1,0,0,0,208,25.707324279685253,4.835246176310741,0,0,,20.0,25.707324279685253,20460825
