env_steps,success,success_rate,collision,collision_rate,unsafe,unsafe_rate,mean_return,timeout,open_success,open_success_rate,block_success,block_success_rate,sbend_success,sbend_success_rate,obstacle_success,obstacle_success_rate
0,37,0.6851851851851852,9,0.16666666666666666,9,0.16666666666666666,17.90953378159614,8,17,0.9444444444444444,9,0.5,11,0.6111111111111112,20,0.5555555555555556
50000,32,0.5925925925925926,9,0.16666666666666666,9,0.16666666666666666,15.95483736641926,13,17,0.9444444444444444,8,0.4444444444444444,7,0.3888888888888889,15,0.4166666666666667
100000,27,0.5,10,0.18518518518518517,10,0.18518518518518517,13.340116232791411,17,14,0.7777777777777778,8,0.4444444444444444,5,0.2777777777777778,13,0.3611111111111111
150000,28,0.5185185185185185,15,0.2777777777777778,15,0.2777777777777778,11.35844101305304,11,17,0.9444444444444444,3,0.16666666666666666,8,0.4444444444444444,11,0.3055555555555556
200000,28,0.5185185185185185,13,0.24074074074074073,13,0.24074074074074073,12.564542173824542,13,16,0.8888888888888888,4,0.2222222222222222,8,0.4444444444444444,12,0.3333333333333333
250000,29,0.5370370370370371,15,0.2777777777777778,15,0.2777777777777778,11.939194995801246,10,17,0.9444444444444444,2,0.1111111111111111,10,0.5555555555555556,12,0.3333333333333333
300000,22,0.4074074074074074,16,0.2962962962962963,16,0.2962962962962963,8.557444592050464,16,13,0.7222222222222222,1,0.05555555555555555,8,0.4444444444444444,9,0.25
350000,24,0.4444444444444444,16,0.2962962962962963,16,0.2962962962962963,9.321097481867433,14,15,0.8333333333333334,0,0.0,9,0.5,9,0.25
400000,23,0.42592592592592593,10,0.18518518518518517,10,0.18518518518518517,11.638893421575611,21,12,0.6666666666666666,2,0.1111111111111111,9,0.5,11,0.3055555555555556
450000,19,0.35185185185185186,13,0.24074074074074073,13,0.24074074074074073,8.425474257212787,22,13,0.7222222222222222,0,0.0,6,0.3333333333333333,6,0.16666666666666666
500000,23,0.42592592592592593,13,0.24074074074074073,13,0.24074074074074073,10.219336606109616,18,12,0.6666666666666666,0,0.0,11,0.6111111111111112,11,0.3055555555555556
