env_steps,success,success_rate,collision,collision_rate,unsafe,unsafe_rate,mean_return,timeout,open_success,open_success_rate,block_success,block_success_rate,sbend_success,sbend_success_rate,obstacle_success,obstacle_success_rate
0,0,0.0,0,0.0,0,0.0,-2.080983727138835,54,0,0.0,0,0.0,0,0.0,0,0.0
50000,0,0.0,11,0.2037037037037037,11,0.2037037037037037,-3.0299621635738614,43,0,0.0,0,0.0,0,0.0,0,0.0
100000,6,0.1111111111111111,4,0.07407407407407407,4,0.07407407407407407,1.5338055744886179,44,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
150000,10,0.18518518518518517,2,0.037037037037037035,2,0.037037037037037035,5.1022557749817725,42,10,0.5555555555555556,0,0.0,0,0.0,0,0.0
200000,12,0.2222222222222222,11,0.2037037037037037,11,0.2037037037037037,2.76812188678666,31,12,0.6666666666666666,0,0.0,0,0.0,0,0.0
250000,11,0.2037037037037037,23,0.42592592592592593,23,0.42592592592592593,-2.069537266941781,20,11,0.6111111111111112,0,0.0,0,0.0,0,0.0
300000,6,0.1111111111111111,15,0.2777777777777778,15,0.2777777777777778,-1.1516351262530349,33,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
350000,7,0.12962962962962962,16,0.2962962962962963,16,0.2962962962962963,-1.0113175292329755,31,7,0.3888888888888889,0,0.0,0,0.0,0,0.0
400000,7,0.12962962962962962,32,0.5925925925925926,32,0.5925925925925926,-7.231570648848202,15,7,0.3888888888888889,0,0.0,0,0.0,0,0.0
450000,13,0.24074074074074073,30,0.5555555555555556,30,0.5555555555555556,-3.552464699899371,11,13,0.7222222222222222,0,0.0,0,0.0,0,0.0
500000,14,0.25925925925925924,32,0.5925925925925926,32,0.5925925925925926,-3.394123992411189,8,14,0.7777777777777778,0,0.0,0,0.0,0,0.0
