method,family,tasks,success,success_rate,unsafe,timeout,mean_return
greedy_goal,ALL,54,18,0.3333333333333333,36,0,-0.4155289717028482
greedy_goal,DIAGONAL_CROSSOVER,9,0,0.0,9,0,-16.129265331218782
greedy_goal,DOUBLE_ALTERNATING,9,0,0.0,9,0,-16.883252373911375
greedy_goal,NARROW_GATE,9,9,1.0,0,0,29.529812045660233
greedy_goal,OFFSET_TWIN_GATE,9,9,1.0,0,0,34.56231822968218
greedy_goal,TRIPLE_CHICANE,9,0,0.0,9,0,-17.305133957341095
greedy_goal,WIDE_LATERAL_DETOUR,9,0,0.0,9,0,-16.26765244308824
pure_ppo_seed_20260812,ALL,54,0,0.0,19,35,-5.299476903203504
pure_ppo_seed_20260812,DIAGONAL_CROSSOVER,9,0,0.0,0,9,1.9173131026939676
pure_ppo_seed_20260812,DOUBLE_ALTERNATING,9,0,0.0,9,0,-17.151534668521915
pure_ppo_seed_20260812,NARROW_GATE,9,0,0.0,0,9,1.0488489861831287
pure_ppo_seed_20260812,OFFSET_TWIN_GATE,9,0,0.0,1,8,-1.326830280030069
pure_ppo_seed_20260812,TRIPLE_CHICANE,9,0,0.0,9,0,-17.479075927102457
pure_ppo_seed_20260812,WIDE_LATERAL_DETOUR,9,0,0.0,0,9,1.1944173675563183
pure_ppo_seed_20260813,ALL,54,0,0.0,3,51,-0.3834893162989082
pure_ppo_seed_20260813,DIAGONAL_CROSSOVER,9,0,0.0,0,9,1.471050336829097
pure_ppo_seed_20260813,DOUBLE_ALTERNATING,9,0,0.0,1,8,-1.2917644261919916
pure_ppo_seed_20260813,NARROW_GATE,9,0,0.0,0,9,0.7136052799905617
pure_ppo_seed_20260813,OFFSET_TWIN_GATE,9,0,0.0,1,8,-1.4252755734174576
pure_ppo_seed_20260813,TRIPLE_CHICANE,9,0,0.0,1,8,-2.062172599251909
pure_ppo_seed_20260813,WIDE_LATERAL_DETOUR,9,0,0.0,0,9,0.2936210842482496
pure_ppo_seed_20260814,ALL,54,0,0.0,2,52,-0.06556328984836592
pure_ppo_seed_20260814,DIAGONAL_CROSSOVER,9,0,0.0,0,9,1.0909170375215829
pure_ppo_seed_20260814,DOUBLE_ALTERNATING,9,0,0.0,0,9,0.779519320883592
pure_ppo_seed_20260814,NARROW_GATE,9,0,0.0,0,9,0.41501335616357227
pure_ppo_seed_20260814,OFFSET_TWIN_GATE,9,0,0.0,0,9,0.26252869440516235
pure_ppo_seed_20260814,TRIPLE_CHICANE,9,0,0.0,2,7,-3.1638087159157293
pure_ppo_seed_20260814,WIDE_LATERAL_DETOUR,9,0,0.0,0,9,0.22245056785162395
