env_steps,success,success_rate,collision,collision_rate,unsafe,unsafe_rate,mean_return,timeout,open_success,open_success_rate,block_success,block_success_rate,sbend_success,sbend_success_rate,obstacle_success,obstacle_success_rate
0,31,0.5740740740740741,12,0.2222222222222222,12,0.2222222222222222,13.354353314942598,11,15,0.8333333333333334,8,0.4444444444444444,8,0.4444444444444444,16,0.4444444444444444
50000,30,0.5555555555555556,16,0.2962962962962963,16,0.2962962962962963,11.3701789834739,8,14,0.7777777777777778,4,0.2222222222222222,12,0.6666666666666666,16,0.4444444444444444
100000,27,0.5,17,0.3148148148148148,17,0.3148148148148148,9.95170761621761,10,17,0.9444444444444444,2,0.1111111111111111,8,0.4444444444444444,10,0.2777777777777778
150000,30,0.5555555555555556,16,0.2962962962962963,16,0.2962962962962963,11.614628122292903,8,18,1.0,4,0.2222222222222222,8,0.4444444444444444,12,0.3333333333333333
200000,27,0.5,20,0.37037037037037035,20,0.37037037037037035,8.60310702562383,7,18,1.0,1,0.05555555555555555,8,0.4444444444444444,9,0.25
250000,29,0.5370370370370371,18,0.3333333333333333,18,0.3333333333333333,10.134233828802554,7,15,0.8333333333333334,4,0.2222222222222222,10,0.5555555555555556,14,0.3888888888888889
300000,14,0.25925925925925924,27,0.5,27,0.5,0.5679925903561618,13,9,0.5,0,0.0,5,0.2777777777777778,5,0.1388888888888889
350000,15,0.2777777777777778,23,0.42592592592592593,23,0.42592592592592593,2.580799321259501,16,9,0.5,0,0.0,6,0.3333333333333333,6,0.16666666666666666
400000,15,0.2777777777777778,26,0.48148148148148145,26,0.48148148148148145,1.071275616673602,13,8,0.4444444444444444,0,0.0,7,0.3888888888888889,7,0.19444444444444445
450000,11,0.2037037037037037,26,0.48148148148148145,26,0.48148148148148145,-0.9955818895556322,17,7,0.3888888888888889,0,0.0,4,0.2222222222222222,4,0.1111111111111111
500000,14,0.25925925925925924,26,0.48148148148148145,26,0.48148148148148145,0.24128163942768022,14,8,0.4444444444444444,0,0.0,6,0.3333333333333333,6,0.16666666666666666
