model,fraction,seed,split,task_id,family,success,collision,ground_contact,unsafe,timeout,mean_return,episode_steps,action_clip_count,policy_action_support_violation_count
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_CROSSOVER_00_TASK_000,FRESH,0,0,0,0,1,1.355746232326512,960,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_CROSSOVER_00_TASK_001,FRESH,0,1,0,1,0,-16.392040499388937,337,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_CROSSOVER_00_TASK_002,FRESH,0,0,1,1,0,-17.619217390042373,324,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_CROSSOVER_00_TASK_003,FRESH,0,1,0,1,0,-17.534214660448228,665,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_CROSSOVER_00_TASK_004,FRESH,0,0,1,1,0,-18.996784346776042,859,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_CROSSOVER_00_TASK_005,FRESH,0,1,0,1,0,-16.955194521999182,702,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_CROSSOVER_00_TASK_006,FRESH,0,1,0,1,0,-16.98362519400083,661,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_CROSSOVER_00_TASK_007,FRESH,0,0,0,0,1,-1.633143288450391,960,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_CROSSOVER_00_TASK_008,FRESH,0,1,0,1,0,-17.087326650886368,163,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_DOUBLE_00_TASK_000,FRESH,0,1,0,1,0,-11.184883398798389,689,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_DOUBLE_00_TASK_003,FRESH,0,0,1,1,0,-15.969092232659483,309,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_DOUBLE_00_TASK_004,FRESH,0,0,0,0,1,7.36137425461762,960,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_DOUBLE_00_TASK_007,FRESH,0,1,0,1,0,-11.581936483595669,506,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_DOUBLE_00_TASK_008,FRESH,0,1,0,1,0,-10.915132810376594,782,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_DOUBLE_00_TASK_012,FRESH,1,0,0,0,0,31.96715843817107,773,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_DOUBLE_00_TASK_017,FRESH,0,0,0,0,1,9.433833881260247,960,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_DOUBLE_00_TASK_019,FRESH,0,0,0,0,1,8.476537394092922,960,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_DOUBLE_00_TASK_021,FRESH,0,1,0,1,0,-16.75148414883242,326,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_CHICANE_00_TASK_000,FRESH,0,0,1,1,0,-18.426349513858078,299,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_CHICANE_00_TASK_001,FRESH,0,0,0,0,1,8.5479733127734,960,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_CHICANE_00_TASK_002,FRESH,0,0,0,0,1,11.376780968595712,960,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_CHICANE_00_TASK_003,FRESH,0,0,0,0,1,3.1266870757644822,960,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_CHICANE_00_TASK_004,FRESH,0,1,0,1,0,-16.816600865391322,349,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_CHICANE_00_TASK_005,FRESH,0,1,0,1,0,-15.863076509161266,639,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_CHICANE_00_TASK_006,FRESH,0,0,0,0,1,4.295722765457456,960,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_CHICANE_00_TASK_007,FRESH,0,0,0,0,1,-2.1903920938243995,960,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_CHICANE_00_TASK_008,FRESH,0,0,1,1,0,-16.085442209195733,474,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_GATE_00_TASK_000,FRESH,1,0,0,0,0,27.879921315263083,657,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_GATE_00_TASK_001,FRESH,0,0,0,0,1,7.903337398563867,960,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_GATE_00_TASK_002,FRESH,1,0,0,0,0,29.159925512088417,496,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_GATE_00_TASK_003,FRESH,0,1,0,1,0,-14.559560007599341,263,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_GATE_00_TASK_004,FRESH,0,0,0,0,1,8.450431185747947,960,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_GATE_00_TASK_005,FRESH,0,1,0,1,0,-13.475830305613844,310,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_GATE_00_TASK_006,FRESH,0,1,0,1,0,-15.034725257016856,277,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_GATE_00_TASK_007,FRESH,0,0,0,0,1,7.8278530315509585,960,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_GATE_00_TASK_008,FRESH,0,1,0,1,0,-13.160018742378465,385,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_DETOUR_00_TASK_000,FRESH,1,0,0,0,0,29.903411678340092,651,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_DETOUR_00_TASK_001,FRESH,0,1,0,1,0,-17.464690885344826,207,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_DETOUR_00_TASK_002,FRESH,0,1,0,1,0,-15.991070802308446,346,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_DETOUR_00_TASK_003,FRESH,0,1,0,1,0,-16.66427931136642,222,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_DETOUR_00_TASK_004,FRESH,0,1,0,1,0,-16.68706600171852,301,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_DETOUR_00_TASK_005,FRESH,0,1,0,1,0,-16.76174967866693,218,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_DETOUR_00_TASK_006,FRESH,1,0,0,0,0,30.74409466118888,604,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_DETOUR_00_TASK_007,FRESH,0,1,0,1,0,-16.570330751676895,251,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_DETOUR_00_TASK_008,FRESH,1,0,0,0,0,28.427240289843887,440,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_TWIN_GATE_00_TASK_000,FRESH,0,1,0,1,0,-16.895232248142868,644,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_TWIN_GATE_00_TASK_001,FRESH,0,0,0,0,1,2.061871680970347,960,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_TWIN_GATE_00_TASK_002,FRESH,0,0,0,0,1,-2.35824757651595,960,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_TWIN_GATE_00_TASK_003,FRESH,0,0,0,0,1,12.442530437699144,960,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_TWIN_GATE_00_TASK_004,FRESH,0,0,0,0,1,10.514991950890115,960,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_TWIN_GATE_00_TASK_005,FRESH,0,1,0,1,0,-17.690147573332883,285,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_TWIN_GATE_00_TASK_006,FRESH,0,1,0,1,0,-9.574337299474177,753,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_TWIN_GATE_00_TASK_007,FRESH,0,0,0,0,1,-2.5530891046625728,960,0,0
BC,25,20260820,S7_FRESH_DEVELOPMENT,FRESH_TWIN_GATE_00_TASK_008,FRESH,0,1,0,1,0,-8.585204238262392,782,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_CROSSOVER_00_TASK_000,FRESH,0,0,0,0,1,-0.795742290623023,960,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_CROSSOVER_00_TASK_001,FRESH,0,0,0,0,1,-0.8308816251681871,960,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_CROSSOVER_00_TASK_002,FRESH,0,0,0,0,1,-0.3225037744130876,960,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_CROSSOVER_00_TASK_003,FRESH,0,1,0,1,0,-18.471756716023016,873,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_CROSSOVER_00_TASK_004,FRESH,0,0,0,0,1,-0.16507132287089196,960,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_CROSSOVER_00_TASK_005,FRESH,0,0,0,0,1,-0.6523818079295384,960,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_CROSSOVER_00_TASK_006,FRESH,0,0,0,0,1,-0.05972500549950682,960,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_CROSSOVER_00_TASK_007,FRESH,0,0,0,0,1,-0.3613716906809578,960,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_CROSSOVER_00_TASK_008,FRESH,0,1,0,1,0,-18.760608597207675,773,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_DOUBLE_00_TASK_000,FRESH,0,1,0,1,0,-15.981797508895504,443,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_DOUBLE_00_TASK_003,FRESH,0,1,0,1,0,-10.957683621801447,513,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_DOUBLE_00_TASK_004,FRESH,0,1,0,1,0,-12.21895905358274,436,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_DOUBLE_00_TASK_007,FRESH,0,1,0,1,0,-11.40958223634387,448,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_DOUBLE_00_TASK_008,FRESH,0,0,0,0,1,-0.7974484001808974,960,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_DOUBLE_00_TASK_012,FRESH,0,0,0,0,1,6.890333547978691,960,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_DOUBLE_00_TASK_017,FRESH,0,1,0,1,0,-11.790026533042168,397,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_DOUBLE_00_TASK_019,FRESH,0,1,0,1,0,-17.6585760937385,557,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_DOUBLE_00_TASK_021,FRESH,0,1,0,1,0,-16.71085923053169,316,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_CHICANE_00_TASK_000,FRESH,0,1,0,1,0,-16.678152789178554,184,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_CHICANE_00_TASK_001,FRESH,0,1,0,1,0,-17.38575849901151,303,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_CHICANE_00_TASK_002,FRESH,0,1,0,1,0,-18.372783579060595,825,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_CHICANE_00_TASK_003,FRESH,0,1,0,1,0,-19.347381570519616,859,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_CHICANE_00_TASK_004,FRESH,0,0,0,0,1,15.353481493080658,960,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_CHICANE_00_TASK_005,FRESH,0,1,0,1,0,-17.326853142448957,374,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_CHICANE_00_TASK_006,FRESH,0,1,0,1,0,-19.334325918883806,927,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_CHICANE_00_TASK_007,FRESH,0,1,0,1,0,-17.46935041096689,560,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_CHICANE_00_TASK_008,FRESH,0,1,0,1,0,-18.01323015324231,339,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_GATE_00_TASK_000,FRESH,0,1,0,1,0,-16.343180512397876,249,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_GATE_00_TASK_001,FRESH,0,1,0,1,0,-14.813222859439154,377,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_GATE_00_TASK_002,FRESH,1,0,0,0,0,29.169990774639842,493,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_GATE_00_TASK_003,FRESH,1,0,0,0,0,28.043389002176838,384,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_GATE_00_TASK_004,FRESH,1,0,0,0,0,29.81062566115113,532,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_GATE_00_TASK_005,FRESH,0,1,0,1,0,-15.073733313106784,438,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_GATE_00_TASK_006,FRESH,1,0,0,0,0,27.25484839063715,421,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_GATE_00_TASK_007,FRESH,1,0,0,0,0,29.342694476807694,485,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_GATE_00_TASK_008,FRESH,0,1,0,1,0,-13.91577456452946,387,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_DETOUR_00_TASK_000,FRESH,0,1,0,1,0,-16.736908169860357,274,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_DETOUR_00_TASK_001,FRESH,1,0,0,0,0,29.46465390143328,521,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_DETOUR_00_TASK_002,FRESH,0,0,0,0,1,-1.6596446802057796,960,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_DETOUR_00_TASK_003,FRESH,1,0,0,0,0,29.036196820276196,520,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_DETOUR_00_TASK_004,FRESH,1,0,0,0,0,29.351995655788254,514,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_DETOUR_00_TASK_005,FRESH,0,1,0,1,0,-15.19170046401879,332,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_DETOUR_00_TASK_006,FRESH,1,0,0,0,0,30.678575538462653,640,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_DETOUR_00_TASK_007,FRESH,1,0,0,0,0,29.335403181802032,532,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_DETOUR_00_TASK_008,FRESH,1,0,0,0,0,28.43771306760725,435,0,0
BC,25,20260821,S7_FRESH_DEVELOPMENT,FRESH_TWIN_GATE_00_TASK_000,FRESH,0,1,0,1,0,-16.121736882635474,242,0,0
