count,success,success_rate,collision,ground,unsafe,timeout,nonfinite,mean_return,mean_steps,by_family,model,pass
1000,976,0.976,24,0,24,0,0,29.772114855549866,446.681,"{'SINGLE_BLOCK': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.811594867253678, 'mean_steps': 448.81}, 'OFFSET_BLOCK': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.835053834086807, 'mean_steps': 450.24}, 'DOUBLE_BLOCK': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.831007225419594, 'mean_steps': 448.22}, 'ALTERNATING_BLOCKS': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.806583956778255, 'mean_steps': 450.78}, 'SBEND_RANDOM': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.885880046501725, 'mean_steps': 452.13}, 'CHICANE_RANDOM': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.855709123991097, 'mean_steps': 451.08}, 'NARROW_GATE': {'count': 100, 'success': 98, 'success_rate': 0.98, 'collision': 2, 'ground': 0, 'unsafe': 2, 'timeout': 0, 'nonfinite': 0, 'mean_return': 29.870815110608618, 'mean_steps': 442.3}, 'DOUBLE_GATE': {'count': 100, 'success': 78, 'success_rate': 0.78, 'collision': 22, 'ground': 0, 'unsafe': 22, 'timeout': 0, 'nonfinite': 0, 'mean_return': 21.132701950778827, 'mean_steps': 420.26}, 'LATERAL_DETOUR': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.829664996240908, 'mean_steps': 450.69}, 'MIXED_CLUTTER': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.862137443839124, 'mean_steps': 452.3}}",UNET,1
1000,987,0.987,8,0,8,5,0,30.36936390534445,464.057,"{'SINGLE_BLOCK': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.784092332120416, 'mean_steps': 463.27}, 'OFFSET_BLOCK': {'count': 100, 'success': 98, 'success_rate': 0.98, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 2, 'nonfinite': 0, 'mean_return': 30.390949773773382, 'mean_steps': 470.39}, 'DOUBLE_BLOCK': {'count': 100, 'success': 99, 'success_rate': 0.99, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 1, 'nonfinite': 0, 'mean_return': 30.59078261158405, 'mean_steps': 466.66}, 'ALTERNATING_BLOCKS': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.78973950316869, 'mean_steps': 459.71}, 'SBEND_RANDOM': {'count': 100, 'success': 99, 'success_rate': 0.99, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 1, 'nonfinite': 0, 'mean_return': 30.64941647819473, 'mean_steps': 466.74}, 'CHICANE_RANDOM': {'count': 100, 'success': 99, 'success_rate': 0.99, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 1, 'nonfinite': 0, 'mean_return': 30.61791899293358, 'mean_steps': 469.06}, 'NARROW_GATE': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.799301896065366, 'mean_steps': 461.37}, 'DOUBLE_GATE': {'count': 100, 'success': 92, 'success_rate': 0.92, 'collision': 8, 'ground': 0, 'unsafe': 8, 'timeout': 0, 'nonfinite': 0, 'mean_return': 27.421831476432214, 'mean_steps': 457.72}, 'LATERAL_DETOUR': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.810220252615917, 'mean_steps': 461.45}, 'MIXED_CLUTTER': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.83938573655613, 'mean_steps': 464.2}}",UNET,5
1000,991,0.991,9,0,9,0,0,30.437223985160426,452.507,"{'SINGLE_BLOCK': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.808167039964673, 'mean_steps': 452.1}, 'OFFSET_BLOCK': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.83066462981757, 'mean_steps': 453.47}, 'DOUBLE_BLOCK': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.8238223932645, 'mean_steps': 452.28}, 'ALTERNATING_BLOCKS': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.80458736363857, 'mean_steps': 452.31}, 'SBEND_RANDOM': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.881062332723847, 'mean_steps': 455.13}, 'CHICANE_RANDOM': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.851416142514807, 'mean_steps': 454.01}, 'NARROW_GATE': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.814851418775792, 'mean_steps': 453.78}, 'DOUBLE_GATE': {'count': 100, 'success': 91, 'success_rate': 0.91, 'collision': 9, 'ground': 0, 'unsafe': 9, 'timeout': 0, 'nonfinite': 0, 'mean_return': 26.876202990166945, 'mean_steps': 441.72}, 'LATERAL_DETOUR': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.826004453800095, 'mean_steps': 453.62}, 'MIXED_CLUTTER': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.85546108693745, 'mean_steps': 456.65}}",UNET,10
1000,996,0.996,2,0,2,2,0,30.693849532454767,455.538,"{'SINGLE_BLOCK': {'count': 100, 'success': 99, 'success_rate': 0.99, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 1, 'nonfinite': 0, 'mean_return': 30.57830047769198, 'mean_steps': 458.82}, 'OFFSET_BLOCK': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.824843611653428, 'mean_steps': 456.26}, 'DOUBLE_BLOCK': {'count': 100, 'success': 99, 'success_rate': 0.99, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 1, 'nonfinite': 0, 'mean_return': 30.602978293718408, 'mean_steps': 460.68}, 'ALTERNATING_BLOCKS': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.80013736633034, 'mean_steps': 454.86}, 'SBEND_RANDOM': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.877462540561886, 'mean_steps': 456.43}, 'CHICANE_RANDOM': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.847842978887087, 'mean_steps': 455.42}, 'NARROW_GATE': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.816136058066945, 'mean_steps': 453.24}, 'DOUBLE_GATE': {'count': 100, 'success': 98, 'success_rate': 0.98, 'collision': 2, 'ground': 0, 'unsafe': 2, 'timeout': 0, 'nonfinite': 0, 'mean_return': 29.909926258185106, 'mean_steps': 450.16}, 'LATERAL_DETOUR': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.820821086028523, 'mean_steps': 455.97}, 'MIXED_CLUTTER': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.860046653423943, 'mean_steps': 453.54}}",UNET,20
1000,998,0.998,2,0,2,0,0,30.73120261406899,462.152,"{'SINGLE_BLOCK': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.78795765279322, 'mean_steps': 461.67}, 'OFFSET_BLOCK': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.811930372553917, 'mean_steps': 462.85}, 'DOUBLE_BLOCK': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.80457690696322, 'mean_steps': 462.05}, 'ALTERNATING_BLOCKS': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.786130373048145, 'mean_steps': 461.22}, 'SBEND_RANDOM': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.86307808577591, 'mean_steps': 464.22}, 'CHICANE_RANDOM': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.833159608549966, 'mean_steps': 463.32}, 'NARROW_GATE': {'count': 100, 'success': 99, 'success_rate': 0.99, 'collision': 1, 'ground': 0, 'unsafe': 1, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.331377266274618, 'mean_steps': 456.77}, 'DOUBLE_GATE': {'count': 100, 'success': 99, 'success_rate': 0.99, 'collision': 1, 'ground': 0, 'unsafe': 1, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.446119216741792, 'mean_steps': 462.48}, 'LATERAL_DETOUR': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.807653540123674, 'mean_steps': 462.85}, 'MIXED_CLUTTER': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.840043117865488, 'mean_steps': 464.09}}",UNET,30
1000,824,0.824,20,79,99,77,0,24.31238582489361,461.598,"{'SINGLE_BLOCK': {'count': 100, 'success': 92, 'success_rate': 0.92, 'collision': 0, 'ground': 4, 'unsafe': 4, 'timeout': 4, 'nonfinite': 0, 'mean_return': 27.916282343858757, 'mean_steps': 468.64}, 'OFFSET_BLOCK': {'count': 100, 'success': 89, 'success_rate': 0.89, 'collision': 0, 'ground': 5, 'unsafe': 5, 'timeout': 6, 'nonfinite': 0, 'mean_return': 27.06999984968448, 'mean_steps': 469.86}, 'DOUBLE_BLOCK': {'count': 100, 'success': 92, 'success_rate': 0.92, 'collision': 0, 'ground': 6, 'unsafe': 6, 'timeout': 2, 'nonfinite': 0, 'mean_return': 27.385989746063725, 'mean_steps': 439.73}, 'ALTERNATING_BLOCKS': {'count': 100, 'success': 85, 'success_rate': 0.85, 'collision': 0, 'ground': 6, 'unsafe': 6, 'timeout': 9, 'nonfinite': 0, 'mean_return': 25.890885768399823, 'mean_steps': 483.06}, 'SBEND_RANDOM': {'count': 100, 'success': 84, 'success_rate': 0.84, 'collision': 0, 'ground': 8, 'unsafe': 8, 'timeout': 8, 'nonfinite': 0, 'mean_return': 25.13732800766723, 'mean_steps': 462.28}, 'CHICANE_RANDOM': {'count': 100, 'success': 81, 'success_rate': 0.81, 'collision': 0, 'ground': 8, 'unsafe': 8, 'timeout': 11, 'nonfinite': 0, 'mean_return': 24.481848914298833, 'mean_steps': 480.8}, 'NARROW_GATE': {'count': 100, 'success': 70, 'success_rate': 0.7, 'collision': 5, 'ground': 12, 'unsafe': 17, 'timeout': 13, 'nonfinite': 0, 'mean_return': 19.70632219346412, 'mean_steps': 459.18}, 'DOUBLE_GATE': {'count': 100, 'success': 53, 'success_rate': 0.53, 'collision': 15, 'ground': 20, 'unsafe': 35, 'timeout': 12, 'nonfinite': 0, 'mean_return': 11.465068537224465, 'mean_steps': 425.98}, 'LATERAL_DETOUR': {'count': 100, 'success': 90, 'success_rate': 0.9, 'collision': 0, 'ground': 4, 'unsafe': 4, 'timeout': 6, 'nonfinite': 0, 'mean_return': 27.541572251002155, 'mean_steps': 462.2}, 'MIXED_CLUTTER': {'count': 100, 'success': 88, 'success_rate': 0.88, 'collision': 0, 'ground': 6, 'unsafe': 6, 'timeout': 6, 'nonfinite': 0, 'mean_return': 26.528560637272477, 'mean_steps': 464.25}}",DIFFUSION,1
1000,955,0.955,18,27,45,0,0,28.744743200033337,440.642,"{'SINGLE_BLOCK': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.816704917684632, 'mean_steps': 447.42}, 'OFFSET_BLOCK': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.83941992995882, 'mean_steps': 449.37}, 'DOUBLE_BLOCK': {'count': 100, 'success': 99, 'success_rate': 0.99, 'collision': 0, 'ground': 1, 'unsafe': 1, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.361825086453894, 'mean_steps': 444.91}, 'ALTERNATING_BLOCKS': {'count': 100, 'success': 99, 'success_rate': 0.99, 'collision': 0, 'ground': 1, 'unsafe': 1, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.33568751568791, 'mean_steps': 445.11}, 'SBEND_RANDOM': {'count': 100, 'success': 99, 'success_rate': 0.99, 'collision': 0, 'ground': 1, 'unsafe': 1, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.408868410502787, 'mean_steps': 448.89}, 'CHICANE_RANDOM': {'count': 100, 'success': 97, 'success_rate': 0.97, 'collision': 0, 'ground': 3, 'unsafe': 3, 'timeout': 0, 'nonfinite': 0, 'mean_return': 29.433164846783374, 'mean_steps': 443.27}, 'NARROW_GATE': {'count': 100, 'success': 91, 'success_rate': 0.91, 'collision': 2, 'ground': 7, 'unsafe': 9, 'timeout': 0, 'nonfinite': 0, 'mean_return': 26.485356900079672, 'mean_steps': 430.04}, 'DOUBLE_GATE': {'count': 100, 'success': 71, 'success_rate': 0.71, 'collision': 16, 'ground': 13, 'unsafe': 29, 'timeout': 0, 'nonfinite': 0, 'mean_return': 17.55211497541309, 'mean_steps': 398.44}, 'LATERAL_DETOUR': {'count': 100, 'success': 100, 'success_rate': 1.0, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.834853999001314, 'mean_steps': 448.63}, 'MIXED_CLUTTER': {'count': 100, 'success': 99, 'success_rate': 0.99, 'collision': 0, 'ground': 1, 'unsafe': 1, 'timeout': 0, 'nonfinite': 0, 'mean_return': 30.379435418767844, 'mean_steps': 450.34}}",DIFFUSION,5
1000,920,0.92,18,0,18,62,0,28.35642219626846,472.497,"{'SINGLE_BLOCK': {'count': 100, 'success': 96, 'success_rate': 0.96, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 4, 'nonfinite': 0, 'mean_return': 29.661982571339262, 'mean_steps': 463.29}, 'OFFSET_BLOCK': {'count': 100, 'success': 90, 'success_rate': 0.9, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 10, 'nonfinite': 0, 'mean_return': 27.938153111136863, 'mean_steps': 494.95}, 'DOUBLE_BLOCK': {'count': 100, 'success': 93, 'success_rate': 0.93, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 7, 'nonfinite': 0, 'mean_return': 28.897034240560906, 'mean_steps': 474.19}, 'ALTERNATING_BLOCKS': {'count': 100, 'success': 93, 'success_rate': 0.93, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 7, 'nonfinite': 0, 'mean_return': 29.205942597876643, 'mean_steps': 475.04}, 'SBEND_RANDOM': {'count': 100, 'success': 96, 'success_rate': 0.96, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 4, 'nonfinite': 0, 'mean_return': 29.647714869613672, 'mean_steps': 464.57}, 'CHICANE_RANDOM': {'count': 100, 'success': 94, 'success_rate': 0.94, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 6, 'nonfinite': 0, 'mean_return': 29.264800613150037, 'mean_steps': 477.13}, 'NARROW_GATE': {'count': 100, 'success': 93, 'success_rate': 0.93, 'collision': 3, 'ground': 0, 'unsafe': 3, 'timeout': 4, 'nonfinite': 0, 'mean_return': 28.350976163732234, 'mean_steps': 457.04}, 'DOUBLE_GATE': {'count': 100, 'success': 81, 'success_rate': 0.81, 'collision': 15, 'ground': 0, 'unsafe': 15, 'timeout': 4, 'nonfinite': 0, 'mean_return': 23.22616453400349, 'mean_steps': 451.34}, 'LATERAL_DETOUR': {'count': 100, 'success': 90, 'success_rate': 0.9, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 10, 'nonfinite': 0, 'mean_return': 27.895123925190745, 'mean_steps': 494.21}, 'MIXED_CLUTTER': {'count': 100, 'success': 94, 'success_rate': 0.94, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 6, 'nonfinite': 0, 'mean_return': 29.476329336080717, 'mean_steps': 473.21}}",DIFFUSION,10
1000,808,0.808,19,4,23,169,0,24.169123714847814,530.801,"{'SINGLE_BLOCK': {'count': 100, 'success': 79, 'success_rate': 0.79, 'collision': 0, 'ground': 1, 'unsafe': 1, 'timeout': 20, 'nonfinite': 0, 'mean_return': 23.53280253610431, 'mean_steps': 555.2}, 'OFFSET_BLOCK': {'count': 100, 'success': 87, 'success_rate': 0.87, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 13, 'nonfinite': 0, 'mean_return': 26.8480670680769, 'mean_steps': 513.95}, 'DOUBLE_BLOCK': {'count': 100, 'success': 84, 'success_rate': 0.84, 'collision': 0, 'ground': 1, 'unsafe': 1, 'timeout': 15, 'nonfinite': 0, 'mean_return': 25.609006351812845, 'mean_steps': 521.74}, 'ALTERNATING_BLOCKS': {'count': 100, 'success': 88, 'success_rate': 0.88, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 12, 'nonfinite': 0, 'mean_return': 26.74152256165344, 'mean_steps': 511.52}, 'SBEND_RANDOM': {'count': 100, 'success': 87, 'success_rate': 0.87, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 13, 'nonfinite': 0, 'mean_return': 26.282863564394347, 'mean_steps': 518.06}, 'CHICANE_RANDOM': {'count': 100, 'success': 83, 'success_rate': 0.83, 'collision': 0, 'ground': 2, 'unsafe': 2, 'timeout': 15, 'nonfinite': 0, 'mean_return': 24.83132404466474, 'mean_steps': 525.12}, 'NARROW_GATE': {'count': 100, 'success': 70, 'success_rate': 0.7, 'collision': 9, 'ground': 0, 'unsafe': 9, 'timeout': 21, 'nonfinite': 0, 'mean_return': 19.58387212848911, 'mean_steps': 528.38}, 'DOUBLE_GATE': {'count': 100, 'success': 58, 'success_rate': 0.58, 'collision': 10, 'ground': 0, 'unsafe': 10, 'timeout': 32, 'nonfinite': 0, 'mean_return': 16.161381451221317, 'mean_steps': 590.39}, 'LATERAL_DETOUR': {'count': 100, 'success': 86, 'success_rate': 0.86, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 14, 'nonfinite': 0, 'mean_return': 25.899052783955973, 'mean_steps': 521.9}, 'MIXED_CLUTTER': {'count': 100, 'success': 86, 'success_rate': 0.86, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 14, 'nonfinite': 0, 'mean_return': 26.20134465810517, 'mean_steps': 521.75}}",DIFFUSION,20
1000,825,0.825,10,0,10,165,0,24.268887625174337,534.604,"{'SINGLE_BLOCK': {'count': 100, 'success': 82, 'success_rate': 0.82, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 18, 'nonfinite': 0, 'mean_return': 24.04141317906752, 'mean_steps': 544.37}, 'OFFSET_BLOCK': {'count': 100, 'success': 85, 'success_rate': 0.85, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 15, 'nonfinite': 0, 'mean_return': 25.23556309696854, 'mean_steps': 529.01}, 'DOUBLE_BLOCK': {'count': 100, 'success': 86, 'success_rate': 0.86, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 14, 'nonfinite': 0, 'mean_return': 25.626449117897, 'mean_steps': 524.04}, 'ALTERNATING_BLOCKS': {'count': 100, 'success': 89, 'success_rate': 0.89, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 11, 'nonfinite': 0, 'mean_return': 26.707091026464422, 'mean_steps': 508.15}, 'SBEND_RANDOM': {'count': 100, 'success': 86, 'success_rate': 0.86, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 14, 'nonfinite': 0, 'mean_return': 25.800333449585946, 'mean_steps': 526.66}, 'CHICANE_RANDOM': {'count': 100, 'success': 87, 'success_rate': 0.87, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 13, 'nonfinite': 0, 'mean_return': 25.967773667145956, 'mean_steps': 521.98}, 'NARROW_GATE': {'count': 100, 'success': 80, 'success_rate': 0.8, 'collision': 1, 'ground': 0, 'unsafe': 1, 'timeout': 19, 'nonfinite': 0, 'mean_return': 23.403113608997423, 'mean_steps': 546.5}, 'DOUBLE_GATE': {'count': 100, 'success': 69, 'success_rate': 0.69, 'collision': 9, 'ground': 0, 'unsafe': 9, 'timeout': 22, 'nonfinite': 0, 'mean_return': 18.443011007065408, 'mean_steps': 543.47}, 'LATERAL_DETOUR': {'count': 100, 'success': 81, 'success_rate': 0.81, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 19, 'nonfinite': 0, 'mean_return': 23.90080164121333, 'mean_steps': 549.21}, 'MIXED_CLUTTER': {'count': 100, 'success': 80, 'success_rate': 0.8, 'collision': 0, 'ground': 0, 'unsafe': 0, 'timeout': 20, 'nonfinite': 0, 'mean_return': 23.563326457337812, 'mean_steps': 552.65}}",DIFFUSION,30
